url,equipo,valor_mercado,liga,ataque,tecnica,velocidad,defensa,creatividad,partidos,valoracion_media
"https://www.sofascore.com/football/player/michal-kucharczyk/95436
",Legia II Warszawa,130K €,"Betclic 3. Liga, Group 1",,,,,,,
"https://www.sofascore.com/football/player/polydefkis-volanakis/1110778
",Widzew Łódź,270K €,Ekstraklasa,35,47,51,64,36,11 Appearances,6.90
"https://www.sofascore.com/football/player/sondre-sorli/548762
",Bodø/Glimt,695K €,Eliteserien,62,51,46,33,55,11 Appearances,6.80
"https://www.sofascore.com/football/player/matej-jakubek/187225
",FC Košice,105K €,Niké Liga,,,,,,13 Appearances,6.89
"https://www.sofascore.com/football/player/michal-skvarka/58051
",ETO Akadémia,265K €,NB III Nyugat,,,,,,,
"https://www.sofascore.com/football/player/stephano-carrillo/1410228
",Feyenoord,2.3M €,Eredivisie,,,,,,8 Appearances,6.55
"https://www.sofascore.com/football/player/aurelio-oehlers/1095406
",FC Volendam,260K €,Eerste Divisie,54,46,36,37,42,25 Appearances,6.87
"https://www.sofascore.com/football/player/loizos-kosmas/273043
",Enosis Neon Paralimniou,48K €,Cyprus League by Stoiximan,,,,,,,
"https://www.sofascore.com/football/player/denys-oliynyk/45647
",Retired,,Ukrainian Premier League,,,,,,9 Appearances,6.76
"https://www.sofascore.com/football/player/steve-kingue/945424
",Radomiak Radom,680K €,Ekstraklasa,36,48,53,63,39,15 Appearances,6.93
"https://www.sofascore.com/football/player/carles-soria/885657
",PAS Lamia 1964,415K €,Stoiximan Super League,,,,,,14 Appearances,7.06
"https://www.sofascore.com/football/player/douvikas-anastasios/894863
",Como,7.5M €,Serie A,72,48,55,25,54,19 Appearances,6.75
"https://www.sofascore.com/football/player/emre-can/138156
",Borussia Dortmund,7.5M €,Bundesliga,48,58,64,69,51,31 Appearances,6.95
"https://www.sofascore.com/football/player/yannick-noah/1430464
",FC St. Gallen 1879,290K €,Swiss Super League,,,,,,10 Appearances,6.40
"https://www.sofascore.com/football/player/benjamin-kololli/276301
",FC Sion,105K €,Swiss Super League,61,60,36,32,56,21 Appearances,7.21
"https://www.sofascore.com/football/player/giannis-kotsiras/842148
",Panathinaikos,620K €,Stoiximan Super League,39,46,43,63,45,8 Appearances,6.96
"https://www.sofascore.com/football/player/matyas-tajti/891423
",Újpest,515K €,NB I,49,49,39,43,48,18 Appearances,6.86
"https://www.sofascore.com/football/player/thomas-gundelund/918436
",Vejle,360K €,Danish Superliga,45,49,43,53,48,22 Appearances,6.78
"https://www.sofascore.com/football/player/emmanuel-toku/905165
",AEL Limassol,465K €,Cyprus League by Stoiximan,49,60,27,30,46,25 Appearances,6.69
"https://www.sofascore.com/football/player/marcin-wasielewski/851511
",GKS Katowice,420K €,Ekstraklasa,49,52,42,48,51,32 Appearances,7.08
"https://www.sofascore.com/football/player/dennis-appiah/123164
",Saint-Étienne,975K €,Ligue 1,39,43,46,62,44,27 Appearances,6.64
"https://www.sofascore.com/football/player/kees-smit/1405756
",AZ Alkmaar,4.7M €,Eredivisie,55,54,43,40,60,20 Appearances,7.14
"https://www.sofascore.com/football/player/fabien-centonze/802034
",Nantes,1.9M €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/ashley-barnes/27028
",Burnley,240K €,Championship,55,44,35,34,47,15 Appearances,6.64
"https://www.sofascore.com/football/player/oleksandr-rybka/18051
",Obolon Kyiv,82K €,Ukrainian Premier League,,,,,,,
"https://www.sofascore.com/football/player/florian-danho/1388727
",Randers FC,505K €,Danish Superliga,63,35,40,25,46,19 Appearances,6.73
"https://www.sofascore.com/football/player/ronel-sigler/2149390
",Hapoel Be'er Sheva,,Israeli Premier League,,,,,,,
"https://www.sofascore.com/football/player/belevonis-christos/1046233
",Panetolikos,290K €,Stoiximan Super League,,,,,,27 Appearances,6.63
"https://www.sofascore.com/football/player/toirov-khusrav/1026449
",Chornomorets Odesa,97K €,Ukrainian Premier League,,,,,,7 Appearances,6.66
"https://www.sofascore.com/football/player/layvin-kurzawa/135775
",Boavista,1.1M €,Liga Portugal Betclic,,,,,,,
"https://www.sofascore.com/football/player/danny-armstrong/895765
",Kilmarnock,675K €,Scottish Premiership,62,59,34,37,68,33 Appearances,6.91
"https://www.sofascore.com/football/player/yusuf-ozdemir/1084884
",Alanyaspor,2.9M €,Trendyol Süper Lig,48,44,44,53,50,33 Appearances,6.83
"https://www.sofascore.com/football/player/martin-kovar/1931635
",SK Slavia Praha,,Chance Liga,,,,,,,
"https://www.sofascore.com/football/player/ferro/357734
",CF Estrela Amadora,770K €,Liga Portugal Betclic,35,45,49,67,42,18 Appearances,6.80
"https://www.sofascore.com/football/player/ilia-gruev/911679
",Leeds United,4.6M €,Championship,50,51,58,67,53,22 Appearances,7.15
"https://www.sofascore.com/football/player/jake-obrien/998253
",Everton,16.5M €,Premier League,40,49,60,71,45,20 Appearances,6.91
"https://www.sofascore.com/football/player/serdiuk-artem/1530623
",Vorskla Poltava,,Ukrainian Premier League,,,,,,15 Appearances,6.65
"https://www.sofascore.com/football/player/haraldsson-hakon-arnar/1138804
",Lille,18.5M €,Ligue 1,64,64,41,34,66,25 Appearances,7.08
"https://www.sofascore.com/football/player/oualid-el-hajjam/363532
",Le Havre,290K €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/toshio-lake/929630
",PAS Lamia 1964,180K €,Stoiximan Super League,,,,,,17 Appearances,6.62
"https://www.sofascore.com/football/player/jamie-bynoe-gittens/1140599
",Borussia Dortmund,49M €,Bundesliga,70,72,39,28,63,30 Appearances,6.98
"https://www.sofascore.com/football/player/yan-diomande/2087085
",Leganés,660K €,LaLiga,,,,,,10 Appearances,7.16
"https://www.sofascore.com/football/player/achraf-douiri/1084535
",SC Telstar,155K €,Eredivisie,,,,,,,
"https://www.sofascore.com/football/player/skelly-alvero/1165722
",SV Werder Bremen,2.4M €,Bundesliga,,,,,,,
"https://www.sofascore.com/football/player/mohamed-salah/159665
",Liverpool,48M €,Premier League,86,67,55,29,86,38 Appearances,7.64
"https://www.sofascore.com/football/player/sebastian-nebyla/964157
",FK Jablonec,800K €,Chance Liga,52,54,38,45,54,33 Appearances,6.98
"https://www.sofascore.com/football/player/aurelio-buta/357752
",Stade de Reims,4.7M €,Ligue 1,40,41,42,57,45,28 Appearances,6.79
"https://www.sofascore.com/football/player/mihai-popescu/798298
",FCSB,1.1M €,Romanian Super Liga,37,44,51,69,41,33 Appearances,6.99
"https://www.sofascore.com/football/player/rasmus-nicolaisen/798124
",Toulouse,5.2M €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/emmanuel-lomotey/965032
",Ethnikos Achnas,300K €,Cyprus League by Stoiximan,37,47,56,62,40,27 Appearances,7.03
"https://www.sofascore.com/football/player/lukas-fila/1123333
",FK Pardubice,170K €,Chance Liga,,,,,,,
"https://www.sofascore.com/football/player/ylmaz-yusuf/1804803
",Başakşehir FK,45K €,Trendyol Süper Lig,,,,,,,
"https://www.sofascore.com/football/player/theo-de-percin/1095836
",Auxerre,310K €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/zidan-sertdemir/1129120
",FC Nordsjælland,1.9M €,Danish Superliga,47,48,38,38,47,31 Appearances,6.72
"https://www.sofascore.com/football/player/mohamed-el-amine-amoura/1107591
",VfL Wolfsburg,35M €,Bundesliga,73,57,45,25,62,31 Appearances,7.18
"https://www.sofascore.com/football/player/martin-hansen/39473
",Odense BK,69K €,Danish 1st Division,,,,,,11 Appearances,7.06
